timestamp,query,precision_at_5,recall_at_5,hit_rate,latency,results_count
2026-05-18T13:27:38.403247,chicken briyanii under 200,0.0,0.0,0,0.015,5
2026-05-18T17:06:28.589743,best rated chicken briyani under 250 rupees,0.0,0.0,0,0.036,5
2026-05-19T11:41:34.967713,chicken briyani under 300 best ratings,0.0,0.0,0,0.041,5
2026-05-19T11:45:22.487505,chicken biyani under 200 rupees,0.0,0.0,0,0.027,5
2026-05-19T11:45:37.746614,mutton under 200,0.0,0.0,0,0.033,1
2026-05-19T11:45:54.296151,fried rice under 250,0.25,0.25,1,0.065,4
2026-05-19T15:23:17.757718,best chicken briyani under 200,0.0,0.0,0,0.033,5
2026-05-19T15:50:54.867831,chicken briyani under 200 rupees,0.0,0.0,0,0.026,5
2026-05-19T15:56:21.760549,fried rice under 200 rupees,0.25,0.25,1,0.023,4
2026-05-19T16:10:59.417748,chicken briyani under 200,0.0,0.0,0,0.019,5
2026-05-19T16:33:31.150723,chicken briyani under 200 rupees,0.0,0.0,0,0.017,5
2026-05-19T16:34:34.190652,chicken briyani under 200 rupees,0.0,0.0,0,0.015,5
2026-05-19T16:34:39.147671,idli ,1.0,1.0,1,0.013,3
2026-05-19T16:34:52.447036,vada?,1.0,1.0,1,0.017,3
2026-05-19T16:36:03.579480,chicken briyani under 200 rupees,0.0,0.0,0,0.019,5
2026-05-19T16:36:23.926706,idli,1.0,1.0,1,0.019,3
2026-05-19T16:40:31.127514,chicken under 200,0.0,0,0,0.016,5
2026-05-19T16:40:38.363730,fried rice,0.25,0.25,1,0.014,4
2026-05-19T16:42:13.422530,mutton briyani,0.0,0.0,0,0.027,5
2026-05-19T16:42:20.267107,fried rices?,0.25,0.25,1,0.014,4
2026-05-19T16:42:24.861038,vada?,1.0,1.0,1,0.02,3
2026-05-19T16:46:11.967281,chicken briyani under 200,0.0,0.0,0,0.015,5
2026-05-19T16:54:13.009133,chink briyani,0.0,0.0,0,0.051,5
2026-05-19T16:54:34.812980,prawn briani,0.0,0.0,0,0.046,5
2026-05-19T16:56:09.591525,chickn briyani under 200,0.0,0.0,0,0.042,5
2026-05-19T16:56:57.585815,all briyani,0.0,0.0,0,0.076,5
2026-05-19T17:13:31.241334,chicken biryani under 200,0.0,0.0,0,0.064,5
2026-05-19T17:16:04.776265,chicken briyani under 200 rupees,0.0,0.0,0,0.033,5
2026-05-19T17:16:40.047306,idli vada,1.0,1.0,1,0.036,3
2026-05-19T17:16:50.177717,idli sambar',1.0,1.0,1,0.058,3
2026-05-19T17:18:27.086843,chicken briyani under 220 rupees,0.0,0.0,0,0.166,5
2026-05-19T17:18:41.997696,idli vada?,1.0,1.0,1,0.023,3
2026-05-19T17:20:21.054174,chicken briyani under 200 rupees,0.0,0.0,0,0.035,5
2026-05-19T17:22:33.421893,chicken briyani under 200 rupes,0.0,0.0,0,0.041,5
2026-05-19T17:22:41.750065,mutton under 210,0.0,0.0,0,0.021,1
2026-05-19T17:22:54.151805,pran briyani ,0.0,0.0,0,0.027,5
2026-05-19T17:25:09.223471,chicken briyani under 200 rupees,0.0,0.0,0,0.06,5
